Voter||Weight||% Weight||Author||Rep||Permlink||vote_tstamp||Total Payout||Pending Payout||Curator Payout||Total Payout Value||Total Reward Shares||Ratio||Delegatee Vote Value||Vote Count||Created||Vote Date||Comments||json_metadata||depth||Word Count
karenfoster||1400||14||phoenixwren||57||re-karenfoster-re-phoenixwren-re-karenfoster-do-you-grow-seedling-progress-and-our-makeshift-seed-starting-tent-20180301t190919391z||2018-03-01 22:41:00||0.02||0.02||0||0||3755580700||5.325408131956797e-12||0.02||1||2018-03-01 19:09:24||2018-03-01||1||"{""tags"":[""doyougrow""]}"||3||15
karenfoster||3200||32||khackett||54||breazeale-interpretive-center-padilla-bay||2018-03-01 22:39:03||0.332||0.332||0||0||61913233955||5.36234305320419e-12||0.04647395095154177||16||2018-03-01 22:18:51||2018-03-01||9||"{""tags"":[""blog"",""parenting"",""life"",""adventure"",""steemusa""]}"||0||532
karenfoster||1400||14||phoenixwren||57||re-karenfoster-re-ridhasteem-ophumanangels-raise-funds-for-victims-erupts-mountain-5-d5ca9d5c2741d-20180301t201407753z||2018-03-01 22:32:57||0.029||0.029||0||0||5380481490||5.389852200755364e-12||0.021020564322766586||2||2018-03-01 20:14:12||2018-03-01||6||"{""tags"":[""ophumanangels""]}"||2||71
karenfoster||1400||14||ridhasteem||47||re-phoenixwren-re-karenfoster-re-ridhasteem-ophumanangels-raise-funds-for-victims-erupts-mountain-5-d5ca9d5c2741d-20180301t213743059z||2018-03-01 22:32:51||0.033||0.033||0||0||6048036572||5.4563162122360265e-12||0.02127977570304944||2||2018-03-01 21:37:51||2018-03-01||3||"{""tags"":[""ophumanangels""]}"||3||76
karenfoster||1400||14||ridhasteem||47||re-fadhi-re-ridhasteem-201831t24825542z-20180228t200941047z||2018-03-01 22:32:45||0.021||0.021||0||0||3900026112||5.38457933278576e-12||0.021||1||2018-02-28 20:09:45||2018-03-01||0||"{""tags"":[""ophumanangels""]}"||2||7
karenfoster||1400||14||ridhasteem||47||re-tcpaikano-re-ridhasteem-ophumanangels-raise-funds-for-victims-erupts-mountain-5-d5ca9d5c2741d-20180228t204507798z||2018-03-01 22:32:42||0.021||0.021||0||0||3900026112||5.38457933278576e-12||0.021||1||2018-02-28 20:45:12||2018-03-01||0||"{""tags"":[""ophumanangels""]}"||2||7
karenfoster||1400||14||ridhasteem||47||re-minnowsupport-re-ophumanangels-raise-funds-for-victims-erupts-mountain-5-d5ca9d5c2741d-20180301t023141-20180301t065330632z||2018-03-01 22:32:39||0.021||0.021||0||0||3900026112||5.38457933278576e-12||0.021||1||2018-03-01 06:53:36||2018-03-01||0||"{""tags"":[""ophumanangels""]}"||2||2
karenfoster||1400||14||ridhasteem||47||re-karenfoster-re-ridhasteem-ophumanangels-raise-funds-for-victims-erupts-mountain-5-d5ca9d5c2741d-20180301t131035568z||2018-03-01 22:32:36||0.021||0.021||0||0||3900026112||5.38457933278576e-12||0.021||1||2018-03-01 13:10:39||2018-03-01||0||"{""tags"":[""ophumanangels""]}"||2||22
karenfoster||1000||10||goldendawne||59||re-karenfoster-do-you-grow-seedling-progress-and-our-makeshift-seed-starting-tent-20180301t145617212z||2018-03-01 16:49:21||0.015||0.015||0||0||2744443411||5.465589102649564e-12||0.015||1||2018-03-01 14:56:18||2018-03-01||1||"{""tags"":[""doyougrow""]}"||1||80
karenfoster||3200||32||mountainjewel||58||a-must-have-herbal-book-for-everyone-our-favorite-gypsy-herbalist-juliette||2018-03-01 12:23:09||8.078||8.078||0||0||1508247047711||5.355886499005335e-12||0.043321806407243174||65||2018-02-28 15:13:54||2018-03-01||11||"{""tags"":[""inspiration"",""gardening"",""homesteading"",""freedom"",""steemiteducation""]}"||0||1173
